sender,count
1278894,7452
839736,423
825466,336
775388,305
1366676,283
1813981,258
959427,251
169797,247
1231028,245
762079,244
20967,240
1651940,232
1372177,230
910939,227
165328,225
970160,224
321318,220
941906,219
1063775,218
40881,216
824998,216
931049,216
1173076,213
821251,211
970490,209
1223310,204
2047880,203
809736,201
1812811,200
418150,200
1248270,197
1334972,197
1267918,195
1405426,195
642982,195
873971,195
1858381,193
210814,193
992334,193
638964,191
266280,190
6534,190
821721,186
171002,184
991160,184
750980,183
462140,180
1224245,178
841015,178
1943228,177
1116329,176
1300247,176
563629,175
1597320,174
566662,173
670093,173
985277,172
739949,171
1176667,170
1287379,170
543168,169
774798,168
629470,167
667855,165
724670,165
92759,165
1040142,164
1045980,163
510274,163
2081562,162
440632,161
923924,161
1936854,159
327024,159
1289734,157
1178195,156
506678,156
2009087,154
382365,154
124408,153
1514680,153
938179,153
1508923,152
1534016,152
1237943,151
1626629,151
824453,151
531338,150
586185,150
963148,150
1305795,149
1423904,149
38492,149
1946314,147
90317,147
1970360,146
1481209,145
1759695,145
1998752,145
241855,145
1562105,144
1197655,143
1143856,142
1262713,142
1391505,142
1388022,140
227048,140
1687983,139
753509,138
33434,137
476970,137
1172390,136
185523,136
395782,136
706731,136
1788018,135
580336,135
1588412,134
352736,134
1032029,132
754085,132
1446246,131
220550,131
843401,131
1885677,130
295863,129
342516,129
1203064,128
1297867,128
1346967,128
1349217,128
743963,128
1791838,127
48628,127
521397,127
865037,126
2010383,125
211950,125
896648,125
97456,125
1513573,124
1797310,124
392869,124
449158,124
970547,124
986021,124
161994,123
1804735,123
1846010,123
1317709,122
179988,122
218279,122
1728164,121
715390,121
790661,121
838917,121
708080,120
800081,120
1125646,119
1946142,119
519503,119
1090219,118
1208008,118
1527441,118
480776,118
511781,118
874887,118
1042152,117
1082547,117
1537249,117
215916,117
856573,117
71731,116
1594431,115
731443,115
1366970,114
1390774,114
698208,114
795501,114
1633558,113
2079003,113
536972,113
759256,113
273492,112
492974,112
644063,112
923529,112
1383548,111
1920255,111
357245,111
1430803,110
609256,110
822115,110
484248,109
530908,109
934074,109
1357973,108
1706538,108
36486,108
