sender,count
1278894,38658
839736,5914
1508923,1896
825466,1850
970490,1686
809736,1631
2047880,1619
124408,1541
33707,1527
543168,1505
2037299,1504
1405426,1496
484248,1478
1116329,1477
143415,1471
2010383,1457
813540,1443
1797310,1432
1045021,1429
1812811,1429
382365,1414
1858381,1413
277274,1410
805298,1410
215916,1390
1372177,1388
575483,1388
435344,1384
131876,1379
295863,1379
392869,1378
1300247,1376
510274,1360
1388162,1356
1859190,1355
581794,1354
750980,1353
1098358,1350
762079,1333
670093,1332
910939,1332
1430803,1322
357245,1320
1314084,1319
1692925,1313
174974,1311
384298,1310
896648,1308
1597320,1305
2081131,1299
1754028,1298
74616,1298
255983,1296
1427875,1287
38492,1283
923529,1283
1349992,1281
923924,1276
1651940,1267
1949435,1263
1287379,1260
935776,1260
1366676,1259
128533,1254
220550,1253
378101,1252
667855,1252
875863,1252
36486,1250
455154,1247
918738,1245
165328,1244
1082547,1243
838917,1243
1490672,1242
1547860,1242
1224245,1241
1283210,1238
759256,1235
1390774,1229
33434,1229
733140,1221
211950,1214
1040142,1213
312564,1213
345618,1212
1770468,1211
1208350,1209
1334972,1209
739949,1209
1873033,1208
415477,1206
90317,1206
1728164,1205
1749109,1204
1838792,1203
1045980,1200
1173076,1200
191677,1193
1554678,1192
1143856,1191
563629,1191
992334,1190
824998,1189
398292,1188
232490,1185
1321359,1184
941906,1184
1070212,1181
71731,1180
970547,1180
1357973,1175
1603900,1175
530908,1175
1570102,1173
843401,1173
1660198,1172
1083305,1171
500215,1171
1399755,1166
74613,1163
462140,1159
2000800,1158
874887,1156
757845,1152
1683303,1149
1796195,1149
1246313,1147
1002597,1145
821721,1142
105732,1140
6936,1140
1446794,1137
1248270,1134
1632214,1133
95161,1128
1410699,1126
811548,1126
1203064,1125
1250941,1123
1373261,1123
1529852,1123
6534,1121
1537207,1118
744700,1116
577528,1115
2060106,1114
1941455,1113
298495,1113
1079396,1112
1485916,1110
1942625,1110
273492,1108
865037,1106
440632,1104
470762,1103
1130496,1102
754085,1102
297404,1101
1176992,1100
1681027,1100
321318,1099
938179,1099
742301,1098
48628,1095
1155879,1094
179142,1092
703296,1091
931049,1091
970160,1090
2091426,1089
374824,1089
1998752,1088
449158,1085
1241160,1082
171002,1082
743963,1081
1527441,1080
156781,1079
1695328,1078
1225393,1074
810123,1073
821251,1073
1643468,1072
38622,1072
1640943,1070
1143639,1068
756638,1067
1250700,1064
1706538,1061
1394918,1060
1178195,1059
1432187,1059
1492370,1059
813636,1059
1129455,1058
1481209,1055
993195,1053
152338,1049
1027078,1048
1208008,1046
953336,1045
133205,1042
1934504,1041
418150,1040
934074,1039
20967,1038
790661,1038
40881,1037
184869,1036
356972,1035
715390,1035
1176667,1033
781274,1033
677582,1032
97456,1030
1537249,1029
1679345,1029
1349217,1027
1885677,1027
313742,1026
327024,1026
706731,1025
772368,1025
1544742,1018
1936854,1018
566662,1017
1492009,1014
742371,1013
2051549,1012
590105,1012
968967,1010
462663,1008
241855,1007
597706,1007
1147212,1005
1920255,1005
506678,1005
1231028,1004
1755533,1001
1276986,1000
1388440,998
83376,998
1495587,997
266280,997
1946314,994
992045,994
1865282,993
193629,991
531338,990
48730,987
583339,986
1326471,985
286210,985
1417243,983
1051158,981
379254,981
963148,981
1188816,980
1489409,980
49375,980
586185,974
101816,972
342516,970
775388,968
1756058,967
985277,966
325528,963
446167,962
1148414,961
1813981,961
959427,961
1049061,959
1157004,959
427493,959
480776,959
918616,959
1633558,955
1223310,952
223773,952
856573,952
822115,951
992263,950
1459714,948
952821,948
1032029,946
1932614,946
1491664,945
1695419,945
1400547,944
1791838,944
2013273,944
480696,944
316323,943
2081562,941
1317012,940
1391505,940
1446246,940
19843,940
1452405,938
1728432,938
92759,938
257896,937
1283332,935
291785,934
1230148,932
1415170,931
2042540,931
1218456,930
511781,930
15466,928
1759695,928
1993180,927
841387,925
1740829,924
179988,922
499367,922
580486,922
1063775,920
1086703,916
1134424,916
1280922,916
1499959,914
1846010,914
1994470,913
33417,908
1753118,906
464830,906
525323,906
349317,905
398487,902
727998,901
731282,901
591820,899
729698,899
810735,899
1181215,896
1242167,896
580785,896
699874,896
795501,896
1394838,892
210814,892
700779,892
1804735,891
519503,886
996268,886
1297882,885
1967769,885
571810,885
724670,885
925233,883
1557777,882
380915,882
873971,881
1468447,880
856590,880
250943,879
629470,874
479433,873
50359,872
947320,872
1108472,871
557026,871
217150,870
1194287,867
797317,867
96702,867
1086555,866
1114109,866
239133,866
1861684,865
704362,861
642982,860
723987,859
168587,858
169797,858
755524,858
567841,857
589598,857
748592,857
753509,855
1255142,853
1882987,853
1928375,853
504300,853
146240,852
1814880,852
225622,852
1269351,850
1533011,850
1892706,847
1317709,845
