sender,count
839736,315
1351786,233
1513937,220
155949,211
1253374,208
1292409,192
1948740,186
429515,181
1633069,180
1694105,165
2092166,160
336323,158
2075410,153
748578,152
235977,151
1318331,143
1579817,143
1818969,143
709987,143
35393,135
706748,133
841206,133
873104,132
1509997,129
202253,127
1336358,126
997755,125
264848,123
281976,122
1011289,121
842853,121
1116329,120
579650,120
49375,118
366480,117
286864,116
1206784,115
349344,114
503736,114
419652,113
1307831,111
921586,111
1191716,110
1707232,110
759648,110
827522,109
1234698,107
36415,106
587474,106
1602832,105
1655147,105
1171434,104
1310592,102
1357618,102
1673938,102
1894006,102
1927931,102
2052127,102
1323604,101
262404,100
42045,99
809736,99
914653,99
2092801,98
554372,98
1164974,97
1722301,97
343437,97
561319,97
980953,97
1002250,96
1240905,96
1412069,96
1508886,96
2082743,96
458971,96
794134,96
1509539,95
953237,95
954958,95
1778970,94
749107,94
114265,93
1427875,93
1481568,93
1899097,93
2018496,93
688908,93
837846,93
1586611,92
1813981,92
122704,91
1398362,91
1436267,91
1749673,91
1386589,90
74613,90
91683,90
1010841,89
1223310,89
1828452,89
1221080,88
1661533,88
242193,87
821874,87
1159254,86
1794675,86
2006216,85
1247739,84
1341652,84
1663590,84
1904077,84
1905752,84
1176471,83
965666,82
1036789,81
1251853,81
391086,81
1092832,80
1768640,80
392869,80
1164697,79
1110065,78
1416550,78
1430803,78
1705308,78
1759251,78
1896535,78
878,78
965731,78
739949,77
930385,77
1240976,76
139371,76
1422004,76
1933827,76
25016,76
1068817,75
1383154,75
1418363,75
1623035,75
1102616,74
139065,74
514260,74
100025,73
1953330,73
110790,72
567030,72
659239,72
1393253,71
1814691,71
1916502,71
1981192,71
882208,71
1028749,70
478984,70
532000,70
1032283,69
180883,69
1872083,69
835786,69
923554,69
1603285,68
1964725,68
809385,68
1153044,66
72042,66
1841819,65
50359,65
128533,64
1523516,64
1794996,64
1993180,64
839322,64
999764,64
1482332,63
160977,63
234695,63
483264,63
519469,63
324342,62
1447438,61
1617273,61
177631,61
262139,61
456718,61
1115836,60
1738445,60
2088609,60
353561,60
427264,60
478917,60
53558,60
454357,59
826185,59
1021169,58
105753,58
1852135,58
453253,58
780234,58
1150627,57
1313620,57
1533281,57
2048397,57
2049580,57
2085735,57
1118027,56
1297607,56
1428086,56
1431376,56
1532810,56
1667861,56
178059,56
1791065,56
2087150,56
346527,56
494243,56
568190,56
59901,56
662986,56
680225,56
1022105,55
1137840,55
1539098,55
1880893,55
2063117,55
524698,55
533798,55
1493476,54
1646028,54
1822422,54
1560027,53
170550,53
1726319,53
1815526,53
1998752,53
2071898,53
1004399,52
1093055,52
1144933,52
1198261,52
1239885,52
1349992,52
1480813,52
1508923,52
1536334,52
1652883,52
1703870,52
1778452,52
1840694,52
244444,52
253084,52
272365,52
546597,52
566139,52
611678,52
810123,52
984793,52
1305659,51
1339900,51
1388440,51
1504681,51
1528582,51
1633574,51
1651327,51
1985225,51
294921,51
47304,51
510274,51
545903,51
580137,51
677351,51
784799,51
1215897,50
1299293,50
1393316,50
1489396,50
1814460,50
94026,50
974019,50
109024,49
1841799,49
398292,49
460714,49
506678,49
1357509,48
1362007,48
1395063,48
1399677,48
169507,48
1736102,48
190991,48
2034995,48
313742,48
427249,48
429138,48
589095,48
733475,48
930531,48
939176,48
1055579,47
1562044,47
166900,47
1680940,47
187421,47
360228,47
410107,47
725553,47
824298,47
1228166,46
1958633,46
2018662,46
2065384,46
800016,46
903262,46
962998,46
145274,45
1714172,45
1773028,45
1843430,45
1943307,45
484248,45
618887,45
667855,45
775288,45
838917,45
972519,45
1461945,44
1494763,44
1829837,44
2086001,44
41141,44
504779,44
781473,44
1321359,43
1464155,43
1609012,43
1683666,43
178026,43
