sender,count
1278894,70143
839736,10224
1351786,2273
1374645,2008
524698,1870
1292409,1805
2082743,1802
178059,1785
1313620,1766
1277912,1681
1639323,1619
1843430,1593
410107,1582
1680940,1577
1045021,1570
1985225,1562
2023929,1561
956264,1528
1427875,1521
1749109,1520
662986,1520
1758474,1511
1102616,1500
1270017,1494
1744789,1493
688908,1485
945534,1482
1336358,1466
1196189,1465
202739,1454
1176471,1450
904228,1448
116446,1447
1171434,1447
155949,1439
566139,1431
1896855,1429
25016,1427
674451,1427
1896535,1422
1590818,1418
984561,1417
1280922,1402
1971401,1398
568190,1398
796408,1394
739490,1390
50426,1382
1118027,1378
965731,1372
1410699,1360
1004399,1358
903262,1357
1660198,1351
805707,1350
1336258,1345
1768640,1345
1307831,1341
533435,1341
952542,1340
1496596,1335
1327719,1331
1250941,1330
45124,1330
841206,1329
1369855,1326
1586611,1321
827800,1319
1634256,1314
429515,1312
2088843,1311
1694105,1308
135373,1303
1272617,1301
1398362,1299
1515007,1299
398292,1296
1201653,1294
1640572,1294
533798,1292
1116329,1289
1480653,1289
1532810,1289
1536334,1289
1431376,1288
1155277,1286
256649,1285
794134,1284
1215897,1280
516710,1273
918738,1273
1208756,1272
139065,1272
244444,1272
891979,1272
1022105,1271
1880893,1271
35393,1271
519469,1269
47304,1267
805939,1267
1412069,1266
1785930,1265
120041,1263
912353,1263
1229137,1261
1967769,1259
1576656,1258
766410,1250
1299293,1248
1436267,1246
1683666,1244
1161889,1242
1579817,1242
1086187,1240
1986103,1237
122704,1235
1633574,1235
273492,1234
1200333,1233
1746052,1233
1651327,1232
1059462,1229
1560027,1229
1759251,1229
954958,1227
1142491,1225
1192199,1225
41498,1221
785770,1221
2004373,1220
91683,1220
1997950,1219
51389,1216
1303315,1215
1416805,1214
1952269,1212
1703870,1211
1939998,1210
1164974,1209
1377774,1209
856067,1208
2033347,1206
748578,1206
827522,1205
706748,1204
750693,1204
1572385,1203
512390,1202
914298,1202
128533,1201
1370098,1201
1582176,1201
1095420,1200
930531,1200
1336065,1199
46776,1198
1556604,1197
324342,1194
1622393,1192
1508886,1189
235977,1187
838237,1187
2061758,1186
1218398,1185
753372,1185
1086360,1184
1818969,1184
1897707,1184
1904077,1183
810123,1183
1956087,1181
929682,1181
970490,1175
1234698,1174
530908,1173
