sender,count
839736,554
729136,208
445984,199
1043977,178
1829837,177
583927,176
794198,166
994541,162
1268119,161
1742491,156
1623035,150
912572,150
535955,145
547838,145
1730737,137
216468,137
348911,134
1664117,131
677703,131
1630045,129
1787422,128
1507270,127
1897655,126
2013533,124
1986321,123
530908,122
988972,121
773078,120
87647,120
1544108,118
183618,118
498990,118
829943,117
1334972,116
257896,116
1515770,114
1931562,114
1158948,113
1314488,112
796138,111
311902,110
1882328,109
1887398,109
1050809,108
591820,108
1152794,107
1552355,107
1149129,106
185956,106
2047906,105
1143968,104
1467311,103
1207278,102
194305,102
1175402,101
1910940,101
293706,101
374500,101
1388162,100
1409556,99
1934504,99
307995,99
1228166,98
1679104,98
1817483,98
1919486,98
2015476,98
1252377,97
1643102,95
703296,95
71913,95
682565,94
827497,94
1002336,93
1339096,93
1647208,93
238484,93
309525,93
1334857,92
1338832,92
1295850,91
83986,91
1198534,90
1382309,90
596085,90
12470,89
2079054,89
1618163,88
1759251,88
1800174,88
547746,88
84567,88
1275178,87
1532450,87
685723,87
102963,86
1828054,86
2074636,86
1208350,85
1281551,85
1306931,85
1541863,85
1753321,85
508780,85
14916,84
171580,84
810123,84
904119,84
1970360,83
2005317,83
234695,83
549739,83
552331,83
1168991,82
1547860,82
1667860,82
1718705,82
702761,82
914298,82
1084844,81
1440279,81
1916489,81
664290,81
841206,81
870287,81
1364488,80
1626469,80
1900699,80
1958633,80
1204869,79
1332781,79
1571183,79
1892706,79
2079223,79
462663,79
482636,79
1095420,78
1201132,78
591023,78
1038241,77
138952,77
2004297,77
270108,77
286210,77
390713,77
678292,77
828045,77
969991,77
1322226,76
1978182,76
748592,76
1706585,75
410107,75
436,75
58518,75
810466,75
1160780,74
383055,74
686079,74
1229798,73
1749673,73
1832566,73
972182,73
1257525,72
1481699,72
284127,72
742660,72
910112,72
96728,72
1357705,71
1569944,71
1627468,71
630239,71
1164383,70
1534016,70
1611603,70
506419,70
95161,70
1309055,69
1706656,69
174424,69
1806858,69
495857,69
1250941,68
1554663,68
1556680,68
31304,68
584961,68
116607,67
1180493,67
1729790,67
1902375,67
610496,67
619301,67
905838,67
1314947,66
219473,66
1356429,65
681230,65
947320,65
1023244,64
1050626,64
1880273,64
582025,64
791077,64
907043,64
1432584,63
1622819,63
423159,63
617679,63
857114,63
1544975,62
255220,62
333607,62
48336,62
589448,61
717547,61
840930,61
992045,61
451555,60
519433,60
1259765,59
149493,59
2070394,59
36415,59
539865,59
1083901,58
1441476,58
1620988,58
1749221,58
285969,58
816045,58
870414,58
89827,58
938483,58
1076477,57
1460660,57
1559001,57
1634902,57
1797536,57
2026293,57
2056066,57
410505,57
505361,57
896882,57
969340,57
99371,57
1038892,56
1101361,56
1102616,56
111118,56
1454634,56
1568224,56
1615218,56
1959018,56
28721,56
376904,56
514417,56
621723,56
843582,56
968489,56
1164114,55
1265098,55
1646069,55
1728432,55
1751339,55
664579,55
739587,55
832516,55
986349,55
1092832,54
1419334,54
1730626,54
182809,54
1915615,54
360857,54
1250778,53
1315406,53
1336358,53
14557,53
1929446,53
223540,53
596632,53
1124207,52
1227319,52
1851993,52
1900049,52
195725,52
555404,52
731443,52
755822,52
918738,52
1364861,51
378256,51
38622,51
446257,51
665331,51
713288,51
914685,51
110200,50
1155375,50
1802636,50
405852,50
718607,50
902530,50
122704,49
1322302,49
306168,49
36486,49
376187,49
842853,49
1312391,48
1329931,48
1345871,48
2053111,48
389062,48
709987,48
748719,48
952892,48
1025627,47
1034802,47
1421396,47
1643467,47
1912012,47
199976,47
514438,47
602296,47
1039958,46
1188663,46
1287583,46
1326004,46
1906645,46
2023167,46
213991,46
257199,46
60390,46
798869,46
801953,46
883270,46
1056414,45
105834,45
1078782,45
1240651,45
1479205,45
1529254,45
1536579,45
405927,45
540937,45
765962,45
816120,45
820353,45
975742,45
987837,45
1003392,44
1214689,44
1223245,44
1276862,44
1336280,44
142484,44
15490,44
1592157,44
1614952,44
1711266,44
1749456,44
1792869,44
1843796,44
1917187,44
1949874,44
1982027,44
1985807,44
22302,44
487801,44
510486,44
583339,44
587738,44
588544,44
771453,44
833313,44
874532,44
1060545,43
1072988,43
1106024,43
1165756,43
119769,43
129113,43
1358860,43
1630646,43
1767476,43
1854198,43
1872559,43
246421,43
277328,43
446534,43
664389,43
781978,43
821837,43
871111,43
1024331,42
1071523,42
1104936,42
1138370,42
1864772,42
220592,42
275309,42
647535,42
698636,42
734884,42
768020,42
94067,42
988355,42
996390,42
1118027,41
1381640,41
1514680,41
1618002,41
1744341,41
1916502,41
250958,41
255291,41
357130,41
365994,41
393107,41
60140,41
734180,41
874887,41
1191716,40
1446675,40
1823484,40
1858783,40
1971204,40
202508,40
327024,40
568810,40
773980,40
827522,40
1284707,39
1310184,39
133205,39
1470065,39
1537207,39
1640943,39
1692091,39
1889140,39
2037599,39
377475,39
611447,39
955733,39
1129933,38
1135276,38
1153044,38
1334111,38
1686979,38
1952341,38
2015054,38
307026,38
463801,38
508963,38
595512,38
620184,38
657292,38
679139,38
685081,38
772909,38
821721,38
911356,38
91683,38
990711,38
106773,37
116446,37
124441,37
1326471,37
1350376,37
1502642,37
1539679,37
1658699,37
17740,37
1784014,37
187692,37
1982191,37
2052272,37
2083046,37
384461,37
49610,37
587445,37
590805,37
669199,37
681305,37
972532,37
976785,37
1033080,36
1116893,36
1142377,36
1401500,36
1496912,36
1577105,36
160919,36
1708002,36
1768434,36
1807223,36
2009792,36
2033274,36
234704,36
380121,36
453253,36
668872,36
690747,36
832662,36
878,36
887530,36
952396,36
988181,36
1035153,35
1122643,35
1169559,35
1171097,35
1276527,35
1411770,35
160977,35
168805,35
1787735,35
1836866,35
1916497,35
1925454,35
2022346,35
236252,35
311504,35
321688,35
367267,35
464204,35
484729,35
543690,35
564103,35
584464,35
61313,35
785325,35
813534,35
8908,35
1082533,34
1102428,34
1162574,34
1277482,34
1480081,34
1480813,34
1576195,34
2096426,34
383467,34
428582,34
75473,34
894204,34
965639,34
1081428,33
1161861,33
120395,33
1351786,33
1524688,33
1744582,33
1815320,33
1929489,33
2028224,33
2083613,33
346215,33
672918,33
756638,33
1113108,32
1464155,32
1800769,32
1852009,32
1854279,32
1877850,32
1983168,32
2060713,32
33030,32
530499,32
549795,32
747056,32
809175,32
968967,32
970547,32
