sender,count
1278894,81559
839736,44674
620184,1979
19249,1977
170456,1813
560023,1777
111118,1757
1952914,1756
692899,1724
195725,1698
1168991,1667
968489,1622
1882328,1600
1848459,1596
1615853,1589
910832,1560
1191147,1534
972532,1523
376904,1519
1356570,1518
482603,1494
866636,1480
1101361,1452
935851,1452
1201132,1443
824420,1434
248838,1422
829943,1412
482636,1411
515929,1407
858748,1406
1588833,1393
1096872,1374
2093864,1373
729136,1372
1022772,1365
1175402,1360
2034776,1347
1700246,1343
1273281,1341
371008,1338
1406300,1335
49375,1335
590805,1335
185956,1334
1580679,1332
1813111,1331
1955415,1331
1382309,1327
1071824,1325
427170,1324
1152015,1316
995009,1316
168011,1314
1873126,1314
240876,1310
713536,1310
870731,1310
786928,1308
1149129,1305
821526,1305
1810761,1300
1977815,1298
1411980,1295
1155913,1294
549850,1291
1215994,1289
1031147,1287
1228230,1275
1250778,1275
2047906,1275
1416972,1274
374448,1272
800724,1271
988972,1264
1050809,1263
1230809,1262
445493,1261
1810596,1259
874520,1258
2025345,1256
1346982,1251
713288,1242
828045,1241
1642591,1240
1208888,1239
856067,1238
212247,1234
559418,1234
1315406,1231
1250941,1230
908943,1228
304588,1220
1535918,1218
1312391,1214
1350010,1213
451555,1211
48336,1211
2026293,1208
1915615,1206
937459,1205
1620771,1204
18989,1204
458951,1204
1643702,1196
1950033,1196
365994,1196
848722,1196
1406931,1195
1768688,1195
1913015,1190
1937540,1190
918738,1189
1844535,1188
1858014,1186
502803,1186
1353161,1183
400640,1182
38622,1179
2007364,1178
60140,1177
1938686,1176
2028377,1176
322237,1176
436644,1173
182809,1171
307995,1171
2044640,1170
2017255,1168
675346,1167
1895027,1166
28721,1165
955733,1163
1469505,1160
1985523,1155
634880,1155
112324,1152
174974,1150
353958,1145
1091843,1142
1132417,1142
1915367,1136
1281551,1131
1536579,1131
7509,1131
1115437,1129
266303,1129
408906,1129
1841510,1128
378256,1128
549795,1128
1688395,1127
1919486,1127
414680,1127
583339,1126
1409556,1124
914298,1124
1046898,1123
217213,1123
1736898,1119
587445,1119
547838,1117
912572,1117
199976,1116
784566,1114
128533,1113
514417,1113
195015,1111
1383898,1108
1390642,1108
530908,1106
985277,1106
379254,1104
810123,1102
903723,1102
756638,1101
798994,1101
535955,1099
1015080,1098
1048364,1098
688908,1097
1985807,1096
1935961,1095
679139,1095
1338832,1094
947320,1094
911823,1093
1707741,1091
1566396,1089
1653563,1089
803659,1086
2008857,1085
992045,1085
1940331,1084
1190780,1083
1324594,1083
771453,1079
1664957,1075
524698,1073
449362,1072
554286,1067
990711,1067
6534,1064
1034802,1061
445984,1061
1623035,1060
1808298,1059
763108,1059
1742491,1057
1217359,1056
543006,1056
1060039,1055
65486,1055
1899097,1053
631684,1053
1203064,1052
229760,1050
1235498,1049
1647208,1048
1364488,1046
994541,1046
975598,1045
1056227,1044
1910940,1041
495857,1040
1025627,1038
1711266,1037
1741732,1036
1213942,1034
1138370,1033
1801467,1032
1029098,1031
1058071,1031
417142,1031
406664,1029
921779,1029
1340914,1028
759792,1028
930542,1028
1843430,1026
1158948,1025
1464565,1025
1942927,1025
869366,1025
1203764,1024
1588308,1024
972182,1024
1128580,1023
429515,1023
1736670,1021
429404,1021
1810521,1018
640448,1018
611447,1017
1433466,1016
782299,1015
216468,1010
986349,1010
1102428,1009
1003815,1008
1388162,1008
442091,1008
221107,1006
1971204,1005
1559001,1004
2001998,1002
583927,1001
83986,1000
1529852,999
707450,999
1314947,998
1268119,993
1780934,986
352827,986
49610,986
1227319,985
220105,985
284127,985
1749109,984
462663,983
731443,983
2053111,982
896787,982
1110694,981
1730737,981
1116329,980
12470,979
1016253,978
2085735,977
412874,977
1401338,976
74613,976
1191716,975
1345871,974
677275,974
273315,973
717179,972
1544975,970
36486,969
2066397,968
1718759,967
1796799,967
516710,967
944383,966
988181,965
1083901,964
2088259,963
1009183,958
1643102,958
579564,958
715390,957
1151513,956
1218278,956
2022453,955
1815411,953
484248,951
1246003,950
1208846,949
497149,949
1137983,948
1629849,948
862836,948
1364861,946
257896,945
378695,945
315683,944
1033825,942
1307549,942
1651502,942
1204869,941
1959300,940
1346967,939
787178,939
2013854,937
2095479,937
311902,937
1788822,935
56079,935
405773,934
1179385,933
962347,933
1421396,931
1679104,929
2056876,925
657292,925
1038892,923
67294,923
813636,922
1460660,921
286210,921
1958435,920
661368,920
2085681,917
1742503,915
748592,915
325607,913
450460,913
662594,913
424710,911
982692,910
834234,909
1723050,906
1632214,904
547951,904
808354,903
1320125,901
1794987,901
1166122,900
1229137,899
1566008,899
183618,899
668872,898
1431376,895
841206,895
1709959,894
1913329,894
245363,894
1164114,893
400344,893
1488263,892
2082743,891
1958633,890
110200,889
1350376,888
133085,886
1287583,885
710019,885
1615218,884
1953077,884
1896535,883
1014468,882
798869,882
1634397,881
1568439,880
74616,880
1400659,879
1571183,879
1614499,879
1630045,879
1610310,878
485227,878
420626,877
1229798,876
96728,874
1118027,873
236342,872
410107,872
1334857,871
842853,871
1238953,870
1560498,870
1484109,869
2091938,869
566357,866
505361,864
1763220,863
2013533,863
1038241,862
1533281,862
664979,862
827497,862
170786,861
495118,861
242845,860
1770588,859
1815486,859
1806858,858
577512,858
792368,858
1728432,857
1280922,856
772368,856
1041478,853
14557,853
1190131,852
1538199,851
564647,851
789396,850
1050842,849
170570,848
1706585,848
744017,848
1024331,847
1916317,847
801953,847
1319857,845
1544108,845
86940,843
95161,842
2056066,841
646245,841
1351786,840
987837,839
1358860,838
1576221,837
860506,837
1244573,836
617679,834
1416805,833
1111313,832
1208350,832
74113,830
1216173,827
40062,827
1685710,825
1073933,824
1581087,824
1075885,823
178059,822
474742,822
1799047,821
1083322,820
149853,820
120615,819
405852,819
968967,819
667435,818
910112,817
1688270,816
1270542,814
1576656,813
1692925,813
396329,813
875863,813
905838,811
1644402,809
1045021,808
149493,808
102963,807
1180493,807
1818636,807
291785,807
969340,807
1699226,805
446257,805
651100,805
1811688,804
1578380,800
1900699,800
360857,800
382158,800
512272,800
1095420,798
1063010,797
1336047,797
357130,797
2074636,795
768020,795
138952,794
1228166,793
1348596,793
874887,793
1221080,792
1490672,792
1892706,791
1162133,790
1547860,790
2052272,790
94140,789
1300247,788
525272,788
970547,788
1570276,786
