receiver,count
1278894,7297
external,824
839736,419
90317,144
1692925,143
1372177,141
1197655,140
1399755,139
273492,137
1366676,134
1082547,131
1452405,131
105732,130
923924,128
1300247,127
2047880,127
1544742,126
762079,125
2010383,124
20967,124
462140,124
1224245,123
124408,123
2007219,123
714380,123
985277,123
1083305,122
165328,122
1754028,122
1786015,121
1858381,121
1432187,120
543168,120
750980,119
825466,119
1626629,118
255983,118
266280,118
33417,118
1349217,117
1366970,117
1770468,117
1188816,116
2000800,116
357245,116
567841,116
667855,116
1427875,115
171002,115
40881,115
843401,115
153470,114
418150,114
1415170,113
1514680,113
184869,113
2081131,113
210814,113
952821,113
970160,113
1063775,112
1791838,112
33707,112
152338,111
342516,111
923529,111
941906,111
1314084,110
1759695,110
1946314,110
575483,110
708080,110
970490,110
1991168,109
220550,109
739949,109
74616,109
935776,109
1116329,108
1728164,108
1873033,108
566662,108
577528,108
699874,108
963148,108
1042152,107
1388162,107
1446794,107
1651940,107
44403,107
589598,107
1231028,106
1993180,106
215916,106
511781,106
531338,106
800081,106
933372,106
1241160,105
1252119,105
1570102,105
1695419,105
1732392,105
557026,105
896648,105
931698,105
1194287,104
1269351,104
1554678,104
2042540,104
352736,104
480776,104
583339,104
92759,104
992045,104
1014820,103
1152246,103
1346967,103
1683303,103
1941455,103
2052043,103
415477,103
586185,103
841015,103
856067,103
1098358,102
1325295,102
1499959,102
1588412,102
446167,102
536972,102
809736,102
1045021,101
1391505,101
1594431,101
313274,101
813540,101
97456,101
992263,101
122952,100
1280922,100
1405426,100
156781,100
161627,100
2060106,100
302331,100
449158,100
1143856,99
1173076,99
1336623,99
143415,99
1476568,99
1485450,99
1838792,99
295863,99
71731,99
731443,99
775388,99
959295,99
1040142,98
1208008,98
1283210,98
1410699,98
1449824,98
1562105,98
1812811,98
1830983,98
2051549,98
931049,98
1032029,97
1050928,97
1191435,97
1360498,97
1527441,97
1706538,97
62641,97
811548,97
1317709,96
1417243,96
1946142,96
287675,96
590105,96
598158,96
810123,96
813636,96
1128580,95
1143639,95
1459714,95
1570944,95
1597320,95
169797,95
211950,95
580785,95
642982,95
753509,95
889291,95
1430803,94
1446246,94
1624321,94
1755533,94
1885677,94
2081562,94
521397,94
580486,94
991160,94
1208350,93
1248270,93
1305659,93
1321359,93
1490672,93
1510830,93
1873607,93
193629,93
2040759,93
312564,93
382365,93
609256,93
759256,93
888093,93
1108472,92
1178195,92
1250941,92
1423904,92
1508923,92
1936854,92
703296,92
1012664,91
1079396,91
1225393,91
1292929,91
1425352,91
1796737,91
258967,91
345421,91
455154,91
492974,91
510274,91
734861,91
810735,91
824998,91
83376,91
910939,91
95161,91
1524498,90
506678,90
519503,90
821721,90
841387,90
1237943,89
1846010,89
1871332,89
2046348,89
464830,89
884977,89
938179,89
1168815,88
1223310,88
1375289,88
1481209,88
1643467,88
1797310,88
1932614,88
38492,88
787796,88
873971,88
875863,88
1008448,87
1152233,87
1899557,87
191677,87
1967769,87
223773,87
1201175,86
1317012,86
173593,86
1749109,86
1959217,86
257896,86
38622,86
442534,86
467299,86
629470,86
1165425,85
1357973,85
1396757,85
1446356,85
1547150,85
1562625,85
1584066,85
185523,85
1859190,85
1994470,85
266349,85
405279,85
462663,85
500215,85
824453,85
1049061,84
1388022,84
1908858,84
356540,84
398487,84
6936,84
74613,84
992688,84
1334972,83
1359382,83
1394918,83
1681027,83
2006561,83
235093,83
33434,83
530908,83
677582,83
1804735,82
2041384,82
239133,82
485743,82
755524,82
756638,82
865037,82
947320,82
1029726,81
1241725,81
1480703,81
1997632,81
473066,81
525932,81
72120,81
797317,81
83986,81
874887,81
965076,81
1111313,80
1197899,80
1713904,80
1998752,80
36486,80
563629,80
1070212,79
1157004,79
1312277,79
1468447,79
1796195,79
395782,79
398292,79
715390,79
733140,79
838917,79
993195,79
1678785,78
2018684,78
476970,78
477978,78
571810,78
6534,78
706731,78
805298,78
959427,78
104177,77
121745,77
1623035,77
2057133,77
291785,77
724670,77
1090219,76
1129455,76
1134424,76
1241516,76
128533,76
1607944,76
1682503,76
289181,76
349317,76
48628,76
1086703,75
1202675,75
1230148,75
1349992,75
1534016,75
174974,75
2079003,75
286210,75
448873,75
821251,75
1250700,74
1379128,74
14835,74
1815816,74
21665,74
423456,74
437544,74
49375,74
581794,74
748592,74
772368,74
856573,74
865155,74
918738,74
1176667,73
217150,73
250943,73
379254,73
470762,73
48730,73
504300,73
743963,73
131876,72
1426301,72
1504044,72
1513573,72
1632214,72
1991646,72
304161,72
1489409,71
1576297,71
161994,71
1840656,71
2037299,71
256620,71
653975,71
668211,71
818164,71
1276986,70
1289734,70
1337278,70
1400547,70
1537249,70
1759022,70
321318,70
374824,70
716681,70
774798,70
986349,70
1051158,69
1203064,69
1205461,69
1234605,69
1246313,69
1509307,69
1537207,69
1557777,69
1660198,69
38398,69
484248,69
591820,69
619203,69
670093,69
713254,69
767374,69
822115,69
998420,69
1158920,68
1393253,68
1492370,68
1813981,68
216278,68
316323,68
345618,68
644063,68
688673,68
731282,68
1119337,67
1227574,67
1814880,67
19843,67
2091426,67
227048,67
239338,67
356972,67
37330,67
435344,67
509441,67
638964,67
754085,67
769381,67
774775,67
781274,67
798869,67
849738,67
1002597,66
1424087,66
1928375,66
2038667,66
241855,66
297404,66
384298,66
392869,66
50359,66
65109,66
1071678,65
1255142,65
164603,65
1739457,65
2080368,65
444532,65
546233,65
574013,65
823913,65
1024085,64
1076477,64
224128,64
258503,64
327024,64
742371,64
790661,64
864019,64
932874,64
943737,64
992334,64
1284357,63
1297648,63
1561938,63
1627198,63
180883,63
1911267,63
245969,63
737575,63
760596,63
925233,63
116009,62
1882987,62
2026615,62
412610,62
444297,62
1130496,61
1181215,61
1345871,61
1381070,61
1491664,61
1521668,61
1773283,61
1934504,61
1943228,61
380915,61
1172390,60
1633558,60
1678060,60
173102,60
1739364,60
1753118,60
1788018,60
1920255,60
203445,60
393354,60
427493,60
596587,60
700779,60
795501,60
1042280,59
1612579,59
1679345,59
209832,59
580336,59
744700,59
750143,59
776705,59
81689,59
856590,59
871111,59
934074,59
1435805,58
1480813,58
179142,58
1837146,58
1848663,58
1892706,58
2017474,58
277274,58
355680,58
375714,58
499367,58
973062,58
1756058,57
1763715,57
1949435,57
199078,57
2068147,57
345382,57
516262,57
677589,57
682629,57
1086555,56
1263311,56
1287379,56
1479571,56
1549439,56
1684033,56
1740829,56
1772919,56
1902375,56
292049,56
804851,56
912895,56
1176992,55
125303,55
1297867,55
1327711,55
1342832,55
140461,55
15466,55
1547860,55
1607547,55
1618056,55
1623490,55
2035914,55
440632,55
538957,55
757845,55
96702,55
1027078,54
1045980,54
1132076,54
1218456,54
1607917,54
1639202,54
1745223,54
1901680,54
1909047,54
537824,54
539907,54
637018,54
832662,54
970547,54
986021,54
1030195,53
1117298,53
1381453,53
148882,53
1513840,53
1603900,53
1695328,53
674611,53
99609,53
1147212,52
1176719,52
1414966,52
1437636,52
1494697,52
1525975,52
1571183,52
1622104,52
1656601,52
549003,52
897556,52
1060157,51
1775516,51
1836075,51
2009087,51
534277,51
98371,51
1127694,50
1262713,50
1298361,50
1373261,50
1691480,50
1735326,50
1932220,50
303603,50
32672,50
597706,50
997011,50
1089957,49
109455,49
1108000,49
1114109,49
1255453,49
146240,49
1495587,49
1578523,49
1696753,49
1749548,49
1823484,49
1836866,49
190992,49
275317,49
480696,49
698208,49
1116385,48
1284436,48
1390774,48
1497676,48
1636010,48
179988,48
1801335,48
1841960,48
218279,48
300315,48
374355,48
479433,48
618704,48
721255,48
764255,48
918616,48
1075494,47
1084500,47
1155879,47
1860181,47
36450,47
636911,47
821837,47
1148414,46
1304658,46
1981182,46
1996962,46
2028099,46
545873,46
729698,46
766395,46
837587,46
880807,46
94185,46
968967,46
977669,46
1093721,45
1094296,45
1184365,45
1485916,45
1563653,45
1574967,45
242900,45
500451,45
523606,45
58017,45
868659,45
941,45
1101472,44
1180958,44
1295158,44
1360715,44
1707585,44
1751670,44
1791156,44
232490,44
376187,44
401428,44
437652,44
753790,44
818140,44
1208151,43
134366,43
1394838,43
1643468,43
916602,43
149913,42
1533011,42
1687983,42
1817739,42
1848529,42
2089499,42
238547,42
539386,42
779535,42
1371106,41
1569963,41
1919714,41
2013273,41
432283,41
703792,41
872243,41
1509340,40
