receiver,count
1278894,38540
external,11302
839736,5914
809736,1411
1812811,1356
1570102,1352
382365,1339
1993180,1336
1527441,1334
1430803,1322
575483,1298
1116329,1279
165328,1279
1399755,1277
1508923,1275
184869,1273
750980,1270
543168,1260
1372177,1258
1321359,1256
1241160,1254
805298,1254
923924,1254
38492,1244
171002,1241
1692925,1238
1083305,1236
1946314,1236
1224245,1235
1791838,1228
733140,1223
1197655,1216
2000800,1211
2007219,1210
2051549,1208
1366676,1207
273492,1207
1427875,1204
970490,1203
1754028,1201
484248,1200
1994470,1190
2010383,1188
825466,1187
105732,1186
1082547,1184
1394918,1181
124408,1178
1280922,1174
131876,1173
152338,1169
1252119,1167
1432187,1167
1858381,1162
415477,1162
896648,1161
97456,1161
90317,1159
1143856,1157
838917,1157
813540,1155
2091426,1154
1417243,1153
2052043,1153
1357973,1152
677582,1152
357245,1151
566662,1151
153470,1148
1997632,1148
455154,1148
1045021,1146
352736,1146
992045,1145
985277,1143
1388162,1142
811548,1141
1157004,1140
1459714,1140
1749109,1140
1250700,1138
1349217,1137
1873033,1137
1514680,1136
1314084,1134
255983,1133
48730,1132
762079,1132
1603900,1131
590105,1131
418150,1130
810735,1130
772368,1129
1188816,1127
580785,1119
128533,1118
1678785,1116
33707,1114
1300247,1112
589598,1112
1452405,1111
1537207,1110
74613,1110
161627,1108
215916,1108
910939,1108
143415,1106
1755533,1106
941906,1106
1490672,1102
375714,1101
1660198,1099
250943,1098
642982,1098
1098358,1097
1391505,1097
1208008,1096
302331,1090
1796737,1089
449158,1089
2038667,1088
40881,1088
1640943,1087
742371,1087
1111313,1085
277274,1085
220550,1084
258967,1083
581794,1083
970160,1083
1415170,1080
191677,1080
49375,1080
1317709,1079
405279,1079
923529,1079
759256,1078
122952,1077
392869,1077
95161,1077
1202675,1076
1336623,1075
1405426,1070
577528,1070
1283210,1069
462140,1067
313274,1066
739949,1066
787796,1066
703296,1065
1002597,1063
813636,1063
992263,1063
1468447,1062
2081131,1062
731282,1062
15466,1057
239338,1056
473066,1056
480776,1055
83376,1055
1231028,1054
1446794,1054
1838792,1054
1859190,1054
1485916,1052
1763715,1052
71731,1052
1756058,1051
1885677,1049
1426301,1048
1797310,1048
598158,1048
1027078,1047
699874,1046
965076,1046
179142,1045
1134424,1043
312564,1043
316323,1042
479433,1042
790661,1042
1480813,1040
856573,1040
295863,1038
480696,1038
688673,1038
1147212,1036
356972,1036
952821,1036
953336,1036
1346967,1035
440632,1035
48628,1035
1223310,1033
256620,1032
380915,1032
1695328,1031
1770468,1031
511781,1030
708080,1030
1728164,1029
935776,1029
210814,1028
700779,1028
384298,1027
1042152,1026
1181215,1023
1949435,1023
841015,1023
291785,1022
1366970,1021
2060106,1021
753790,1020
865037,1020
2047880,1019
1683303,1017
1786015,1017
1840656,1016
744700,1016
1152246,1015
1393253,1015
1594431,1015
266349,1015
374824,1015
597706,1015
1284357,1014
1936854,1014
1489409,1013
1547860,1013
1554678,1013
1920255,1011
1998752,1011
670093,1011
1830983,1010
821721,1010
843401,1010
1165425,1009
1305659,1009
1597320,1009
557026,1008
563629,1007
1342832,1006
653975,1005
1152233,1003
1203064,1003
232490,1002
754085,1002
6936,1001
1446356,998
724670,998
239133,997
580486,997
781274,995
297404,994
193629,992
