receiver,count
external,1381
839736,688
945534,130
2084370,128
1785930,125
1725134,122
731824,120
1626829,116
185737,116
1992055,115
1196189,113
1303632,113
1074159,112
1399677,110
1496596,110
1724525,110
261813,109
753372,109
1200333,108
1362007,107
1841799,107
533435,107
574204,107
700316,107
1923686,106
2061456,106
1059462,105
1282682,105
1299293,105
1389449,105
1639323,105
1078353,104
1341652,104
794134,104
57990,103
1195555,102
1310592,102
1590818,102
902702,102
956264,102
444832,101
1170107,100
1277912,100
419652,100
1002250,99
1575904,99
1651327,99
589095,99
785770,99
1238507,97
294921,97
519469,97
1258281,96
1412069,96
1086187,95
1292409,95
1323604,95
1395063,95
1576012,95
2071114,95
838237,95
2081485,94
876572,94
920903,94
1108405,93
169507,93
66808,93
780234,93
805939,93
833388,93
1118027,92
1986103,92
2043464,92
517737,92
1347428,90
1464155,90
1481568,90
504300,90
1324998,89
1810632,89
1953330,89
317834,89
64079,89
953237,89
1894006,88
277274,88
379254,88
554372,88
914298,88
1357618,87
195712,87
321247,87
1045021,86
1927931,86
974019,86
1480703,85
1952269,85
2006216,85
674451,85
827522,85
1155277,84
1336358,84
1427875,84
1646028,84
1934504,84
768546,84
91683,84
939176,84
116272,83
1828452,83
346527,83
42045,83
903262,83
1164974,82
1573948,82
1615419,82
1794675,82
1848137,82
1886954,82
353226,82
41498,82
805707,82
824298,82
1714172,81
1936555,81
270128,81
709987,81
874887,81
893388,81
1032029,80
1240905,80
1316940,80
1329464,80
1336065,80
1399755,80
1436267,80
1458329,80
1610127,80
1881213,80
233092,80
336323,80
708201,80
963148,80
1017423,79
1084503,79
1095420,79
1300737,79
135373,79
1547541,79
171002,79
187421,79
685104,79
748592,79
800016,79
1102616,78
1345871,78
1574245,78
1582176,78
1867121,78
224350,78
262404,78
911140,78
100025,77
116446,77
1199501,77
1527205,77
174974,77
1778970,77
1818969,77
1843430,77
1958633,77
257896,77
798869,77
954958,77
961383,77
1115836,76
1896535,76
1931939,76
409211,76
507179,76
737575,76
748578,76
837846,76
97597,76
109024,75
1642628,75
1892706,75
1902375,75
1939998,75
272365,75
427249,75
896882,75
929454,75
930531,75
94026,75
1001992,74
1178195,74
1374970,74
1393316,74
1410699,74
1514382,74
1710605,74
1749109,74
1972602,74
391086,74
514260,74
664161,74
750693,74
757845,74
871111,74
907043,74
1010003,73
1215897,73
1351786,73
1560027,73
1949763,73
2081131,73
238781,73
281976,73
38622,73
418150,73
46776,73
579394,73
762721,73
980953,73
1203179,72
1213907,72
1350083,72
1357509,72
1537249,72
1623641,72
1626860,72
1802142,72
296722,72
349307,72
530908,72
566139,72
605746,72
904228,72
999764,72
1191716,71
122704,71
1383154,71
170550,71
1744789,71
17688,71
2028224,71
348630,71
398292,71
633338,71
856067,71
95161,71
986349,71
1208350,70
1296179,70
1338306,70
1547860,70
1759291,70
1888527,70
21665,70
285969,70
393696,70
462663,70
713503,70
781143,70
1028027,69
1114109,69
1181068,69
1334111,69
1531632,69
1596636,69
1794996,69
1797386,69
1881509,69
2066762,69
235977,69
312564,69
492054,69
516961,69
560144,69
6534,69
781307,69
813636,69
932654,69
970160,69
1152728,68
1203064,68
1221080,68
1508886,68
1561773,68
1561823,68
1880893,68
1899097,68
2030726,68
2088843,68
511781,68
541401,68
591820,68
756638,68
858902,68
1076477,67
1300247,67
1339900,67
1549439,67
1617531,67
1817483,67
202253,67
318643,67
497520,67
503736,67
821721,67
832662,67
913258,67
1334972,66
1370098,66
1432187,66
143415,66
1459714,66
1534016,66
1571183,66
1643467,66
1717998,66
234695,66
514438,66
550826,66
572516,66
715390,66
787796,66
1340196,65
1358477,65
1398362,65
1489396,65
1564002,65
1576656,65
1633069,65
1768640,65
356789,65
357245,65
405378,65
48730,65
868805,65
1031879,64
114265,64
1229137,64
1240976,64
1250941,64
1251853,64
1303315,64
1597636,64
1640572,64
1679104,64
1711734,64
1964725,64
2076509,64
349344,64
36415,64
40911,64
618285,64
816196,64
875863,64
963249,64
965666,64
1067814,63
1091991,63
1248270,63
1305659,63
1377134,63
1424087,63
1446356,63
1735907,63
1736972,63
1841819,63
2096426,63
291785,63
464830,63
518508,63
739490,63
816045,63
83986,63
950532,63
1086519,62
1517386,62
1680940,62
178026,62
1805344,62
544138,62
577826,62
589598,62
682565,62
714380,62
776834,62
966340,62
997755,62
1049446,61
110790,61
1340079,61
1440047,61
1539098,61
160977,61
166477,61
1676246,61
171206,61
1779566,61
1870294,61
1873607,61
2006561,61
2077685,61
273492,61
304603,61
36486,61
563231,61
583339,61
609246,61
612457,61
688908,61
729972,61
796138,61
941228,61
94406,61
945257,61
962998,61
980276,61
1082547,60
1098358,60
1206784,60
1364377,60
1377774,60
1422004,60
1449824,60
1547966,60
1597320,60
1660198,60
1727607,60
1759949,60
1829837,60
1845019,60
1997950,60
2071898,60
429138,60
495341,60
51389,60
591387,60
59466,60
676308,60
678336,60
749107,60
753931,60
923585,60
939295,60
1105201,59
1192448,59
1253374,59
1315476,59
1346967,59
1373415,59
1504681,59
1536334,59
1569480,59
1586611,59
1749673,59
1960723,59
1991504,59
2082743,59
235720,59
286864,59
410107,59
460714,59
53558,59
587474,59
591012,59
677351,59
747001,59
810123,59
992045,59
1137840,58
1144933,58
1153044,58
1171383,58
1200871,58
1239885,58
134210,58
1405426,58
153470,58
1627434,58
1703870,58
1897707,58
223773,58
545903,58
629280,58
703296,58
723223,58
841206,58
931049,58
985277,58
1010732,57
1024884,57
1034308,57
1110065,57
1234698,57
1259811,57
1397795,57
1416550,57
1475742,57
1480070,57
1484712,57
1499075,57
1514680,57
1537207,57
1551585,57
1668402,57
1670996,57
1681031,57
1726319,57
1740965,57
1807223,57
1822422,57
1852135,57
1858381,57
1867788,57
1914163,57
1929446,57
1971401,57
1993200,57
2000882,57
2070430,57
266162,57
493160,57
516710,57
525323,57
579650,57
591023,57
59901,57
718374,57
731443,57
766410,57
831214,57
882743,57
928667,57
935776,57
1023477,56
1092832,56
1121338,56
115010,56
1201653,56
1224245,56
1279224,56
1287957,56
1306895,56
1333734,56
