receiver,count
1278894,70001
external,21081
839736,10223
903262,1531
956264,1527
1436267,1499
51389,1430
1277912,1428
674451,1425
516710,1399
1843430,1382
1416550,1369
1336358,1357
1399677,1350
1239885,1336
1292409,1336
25016,1331
1201653,1330
1303315,1330
2082743,1330
224350,1324
2023929,1323
1590818,1322
1533281,1321
1351786,1314
1455231,1314
1726319,1313
1744789,1307
568190,1305
266162,1301
1725134,1296
233092,1285
904228,1285
1576656,1284
116446,1278
945534,1278
1971401,1274
243764,1272
1336065,1271
739490,1269
1880893,1266
410107,1263
1639323,1261
1398362,1259
1896535,1259
1118027,1257
1952269,1256
1191716,1255
1539098,1253
171002,1252
1582176,1250
767871,1250
706748,1248
753372,1248
688908,1247
700316,1247
914298,1244
1059462,1239
1270017,1238
1870294,1236
235720,1233
1282682,1228
1370098,1228
1084959,1225
873104,1225
120041,1223
928667,1222
1680940,1221
747001,1221
984561,1221
1221080,1217
155949,1216
1586611,1216
20133,1216
929682,1216
1200333,1214
1785930,1214
2084370,1213
1327719,1212
1196189,1210
202739,1210
1560027,1209
1416805,1208
1564331,1206
1192199,1205
1626829,1203
685846,1201
589095,1200
2085735,1197
524698,1196
1412069,1192
1426485,1192
762721,1192
1972602,1188
729972,1186
912353,1186
1897707,1185
785770,1184
1433827,1181
1735907,1181
1156938,1180
1270542,1179
1992055,1179
1137840,1178
796408,1177
281976,1176
67762,1176
178059,1175
122704,1173
1480653,1173
731824,1172
766410,1171
1299293,1168
1958633,1168
902702,1168
98191,1168
349344,1167
1651327,1166
1646028,1165
533798,1163
1986103,1162
234695,1160
47304,1160
1766843,1158
1997950,1158
858902,1156
709987,1155
1259811,1154
1845019,1154
838237,1154
1939998,1152
239810,1152
718374,1152
827800,1152
1896855,1150
999764,1150
432089,1149
1195555,1147
1828452,1147
1021169,1146
512390,1146
1691078,1145
805707,1144
1393316,1143
2071114,1143
1250941,1142
503736,1142
748578,1142
1766662,1141
794134,1141
1102616,1140
252538,1140
51843,1140
600223,1140
841206,1139
1724525,1138
907043,1135
1313620,1134
836620,1134
1303632,1133
196389,1133
1323604,1132
1736102,1132
882208,1131
1171434,1130
1258281,1130
59901,1130
1601754,1128
1307831,1125
1336258,1125
1758474,1125
1074159,1124
954958,1121
545903,1120
91683,1120
1095420,1118
1369855,1118
1956087,1118
891979,1113
965731,1113
1150627,1112
1694105,1112
1197,1111
1357618,1111
1022105,1110
1446356,1109
1509997,1109
2061758,1108
1633574,1107
724568,1107
324342,1106
105753,1105
566139,1105
554372,1103
1579817,1101
1344509,1100
1536334,1099
1544045,1099
1489396,1097
1899097,1097
1125378,1095
1496596,1095
46776,1095
48730,1095
66808,1095
2032437,1094
2049580,1094
2076509,1094
261813,1094
133576,1093
1809183,1092
1818969,1091
1967769,1091
1596636,1089
2092166,1089
659239,1089
1428078,1088
1626860,1088
1431376,1087
574204,1086
1417146,1085
1731652,1085
1865229,1085
360228,1085
953237,1085
1905752,1083
813636,1082
35393,1081
116272,1080
1240976,1079
1272617,1079
182729,1079
1403788,1078
1772541,1078
195712,1078
429515,1078
1925280,1077
256603,1076
1532810,1075
1845624,1075
1889878,1075
1913329,1075
930531,1075
1749673,1074
2088843,1074
253084,1074
611678,1074
1663590,1073
1768640,1073
941228,1073
2045590,1072
540014,1072
882743,1072
128533,1071
2071898,1071
1985225,1070
1576012,1069
784799,1069
343437,1068
428579,1068
135373,1067
2088420,1067
2095890,1066
1300247,1065
1668402,1065
1091991,1064
1427875,1063
1797386,1063
1181068,1062
1563054,1062
1161889,1060
1894006,1060
519469,1060
662986,1060
1464155,1059
837846,1059
50426,1057
759648,1057
1170107,1056
856067,1055
1210985,1054
526376,1054
1334972,1053
1515007,1053
1791065,1053
1714172,1052
38417,1052
1284587,1051
1297607,1051
1374645,1051
318643,1051
1903948,1049
810123,1049
827522,1048
2033347,1047
589598,1046
963249,1046
1487524,1045
1617273,1045
36415,1045
1215897,1044
1410699,1044
166900,1044
1814460,1044
444832,1044
1208756,1041
273492,1040
612457,1040
1615419,1039
209259,1039
15466,1037
955141,1037
1310592,1036
1660198,1036
824298,1036
1078353,1035
533435,1035
671520,1035
1045021,1034
1633069,1034
1936555,1034
1746052,1033
207433,1032
1001992,1031
1128869,1031
1300737,1031
1575904,1031
1673938,1029
1790577,1029
1389449,1028
581794,1028
1652883,1027
353561,1027
1112165,1026
160977,1026
418150,1026
517737,1026
1428086,1025
560161,1025
1155277,1024
1570485,1024
94026,1024
992045,1024
2065384,1023
563231,1023
1643467,1022
911140,1022
952542,1022
1395063,1021
1434806,1021
609246,1021
1092832,1020
1116329,1020
286210,1020
516393,1020
1903696,1019
1523516,1018
1545979,1017
579394,1017
256649,1016
672918,1016
1642628,1015
970160,1015
1142491,1013
1377134,1013
2066762,1013
1234698,1012
1624919,1012
973673,1012
1986471,1011
1481568,1010
555364,1010
1176471,1009
235977,1009
1111313,1008
1881213,1008
2061456,1008
294921,1008
927415,1008
1115836,1007
1640572,1007
425748,1007
1164974,1006
1324998,1006
1318331,1005
175908,1005
242193,1005
30224,1004
678336,1004
1339900,1002
1815526,1002
270128,1002
448786,1002
57990,1002
139065,1001
1727607,1001
1153615,1000
1514680,1000
170550,1000
1867121,1000
1034308,999
123639,999
2004373,999
1270619,998
357245,998
1024884,997
1039753,996
1377774,996
171206,996
796138,996
950532,996
1923686,995
2043464,995
42045,995
930385,995
1513937,994
190991,994
297404,994
514260,994
920903,993
1388162,992
1602832,992
1198261,991
1561823,991
2048397,991
962998,991
136265,990
100025,989
1248270,989
149874,989
1032029,988
1562044,988
1350140,987
45124,987
1504681,986
1399755,985
1508886,985
1539433,985
2052127,985
733520,985
980953,985
1749109,984
317834,984
439136,984
328433,983
1596557,982
511781,982
1218398,981
833388,981
2081131,980
409211,980
1411375,979
1703870,979
1813623,979
1830169,979
1931939,979
1949763,979
1960723,979
494243,979
1105197,978
1722301,978
504300,978
525323,978
1912746,977
1638984,976
1017423,975
1108405,975
1238507,975
2006216,975
2018662,974
2081485,974
1572385,973
1460343,972
1953330,972
780234,972
81707,972
929454,972
1537207,971
1762208,971
1841799,971
1247739,970
1280922,970
484248,970
567905,969
605746,969
8764,969
530908,968
876572,968
1214692,967
1574638,966
162850,966
2000836,966
561319,966
1888527,965
272365,965
398767,965
821721,965
1362007,964
1794675,963
1927931,963
1634256,962
391086,962
1588734,961
21665,961
1229137,960
1974110,960
800016,960
928260,960
2051549,959
1004399,958
1341652,958
1514382,958
223773,958
440632,958
941906,957
1253374,956
1556604,956
1623035,956
507179,956
787796,955
965666,954
346527,953
755524,953
961383,953
974019,953
1045382,952
1086187,952
1144933,952
1432187,952
1810632,952
1480703,951
997755,951
1110065,950
1206784,950
1685019,950
1822422,950
202253,950
41498,950
1002250,949
1226336,949
1338306,949
185737,949
567030,948
776834,948
174974,947
785288,947
919709,947
1010003,945
798869,944
1551585,943
725553,943
750693,943
764970,943
1873607,942
198966,942
262404,942
59466,940
818338,940
1165425,939
1244689,939
1904077,939
1622393,938
550826,938
