receiver,count
external,1660
839736,839
1406300,149
1333235,130
2017255,121
495857,121
944383,121
858748,119
1346982,116
935851,114
1810596,113
456790,113
1464565,110
474742,110
429404,109
2001998,108
786928,108
105834,107
315683,107
549795,107
1091843,106
554286,106
1115437,105
1741732,105
216468,105
713536,105
827497,105
1025627,104
2013854,104
248838,104
1307549,103
1659439,103
1441614,102
1566396,102
1647208,102
450460,102
1050809,101
1935961,101
1338832,99
707450,99
1780934,98
1810521,98
1950033,98
1955415,98
1588308,97
1869353,97
199976,96
2066397,96
495118,96
583927,96
982692,96
620184,95
1312391,94
131905,94
1568439,94
792368,94
87647,94
1433466,93
1615218,93
1075885,92
149853,92
1718759,92
1810761,92
40062,92
1179385,91
1204869,91
1913015,91
417142,91
828045,91
1190131,90
12470,90
405773,90
1119806,89
1128580,89
1353161,89
1421396,89
1873126,89
1985523,89
2025345,89
2091938,88
834234,88
1033825,87
1287583,87
149493,87
168011,87
1800541,87
1952914,87
2034776,87
1048364,86
1175402,86
1825209,86
631684,86
909448,86
1415191,85
1664957,85
1870006,85
577512,85
1208846,84
1813111,84
74113,84
1230809,83
1642591,83
1643102,83
240876,83
803659,82
829943,82
1859126,81
2053111,81
353958,81
1158948,80
1411980,80
1985807,80
458951,80
677275,80
1225597,79
1750809,79
424710,79
514417,79
579564,79
870731,79
987837,79
1009183,78
1188663,78
1671438,78
549850,78
640448,78
1022772,77
1268119,77
1688395,77
1900049,77
1796799,76
910112,76
1223310,75
1247737,75
1799047,75
551840,75
744017,75
1488263,74
48730,74
562000,74
1643702,73
1895009,73
18989,73
2093864,73
406664,73
512272,73
746539,73
862836,73
918738,73
921779,73
1034802,72
1320125,72
1388162,72
1709959,72
2022453,72
2088259,72
664979,72
911823,72
937459,72
964113,72
1056227,71
1566008,71
382158,71
420626,71
515929,71
559418,71
675346,71
809175,71
910832,71
1029098,70
1046898,70
1110694,70
1228230,70
1296858,70
1723050,70
449362,70
590805,70
962347,70
1003815,69
1015080,69
1071824,69
1340914,69
1634397,69
1915367,69
1977815,69
427170,69
560023,69
703296,69
896787,69
94140,69
969340,69
1083901,68
400640,68
708548,68
848722,68
120615,67
1213942,67
1319857,67
133085,67
1588833,67
1848459,67
1916317,67
1969042,67
236342,67
376904,67
482636,67
497149,67
784566,67
821526,67
995009,67
1058071,66
1060904,66
111118,66
1560498,66
170456,66
19249,66
329216,66
392618,66
482603,66
1166122,65
445493,65
502803,65
676142,65
1060039,64
1215994,64
1348596,64
143415,64
1162133,63
1415184,63
1446911,63
1535918,63
1707741,63
1873197,63
1953077,63
2007364,63
242845,63
56079,63
583339,63
587445,63
756638,63
968489,63
975598,63
1132417,62
1168991,62
1246003,62
1356570,62
1460660,62
1715217,62
1756424,62
1835351,62
1841510,62
212247,62
266303,62
322237,62
330233,62
379679,62
692899,62
711205,62
798994,62
860506,62
988972,62
1217359,61
1281551,61
1324594,61
1406931,61
1620771,61
1653563,61
1736670,61
374448,61
392025,61
564647,61
7509,61
106861,60
1073933,60
1469505,60
1576221,60
1629849,60
1759402,60
1763220,60
1858014,60
217213,60
49375,60
525272,60
731443,60
935734,60
985277,60
1218278,59
1250941,59
1495912,59
1700246,59
1895027,59
195015,59
2009131,59
273315,59
38622,59
789396,59
990801,59
1383898,58
1416972,58
1615853,58
1808298,58
206379,58
221107,58
286210,58
352827,58
451555,58
462663,58
564763,58
734180,58
992045,58
1208350,57
1235498,57
14557,57
1467015,57
1538199,57
1730626,57
1769075,57
1794987,57
1940331,57
379254,57
708080,57
710019,57
861128,57
86940,57
112324,56
171002,56
1727,56
1801467,56
1844535,56
241608,56
566357,56
748719,56
866636,56
972532,56
1400659,55
1811495,55
1906645,55
281389,55
365994,55
460529,55
60140,55
7228,55
727998,55
808354,55
1191147,54
1300247,54
133205,54
1368412,54
1533281,54
1534016,54
1581087,54
170570,54
2095479,54
6534,54
667855,54
908943,54
1484109,53
1858381,53
1865282,53
2068254,53
2082743,53
2085735,53
28721,53
445984,53
485227,53
587738,53
717179,53
772368,53
947320,53
1016253,52
1102428,52
1149603,52
1529254,52
1902375,52
1949874,52
414680,52
688908,52
781978,52
1065976,51
1130591,51
1190780,51
1273281,51
1440279,51
1569172,51
1578380,51
1922244,51
446534,51
524698,51
739490,51
84567,51
1098358,50
1336047,50
1488035,50
1495702,50
1527025,50
1685710,50
173575,50
1749456,50
2009792,50
2044640,50
2081811,50
220105,50
36486,50
530908,50
552487,50
580785,50
662594,50
74616,50
782299,50
990711,50
1007782,49
1014468,49
1083322,49
129113,49
1479205,49
1648452,49
171566,49
1727821,49
174974,49
1818636,49
298495,49
48336,49
681305,49
800724,49
810123,49
916289,49
1050842,48
108717,48
1149129,48
1208888,48
1315406,48
1513840,48
1623035,48
1630646,48
1722376,48
176233,48
1815411,48
1964024,48
2076332,48
307026,48
468864,48
801953,48
860499,48
970547,48
1003429,47
1130496,47
1180493,47
120394,47
1401338,47
170786,47
2056876,47
578697,47
596085,47
65486,47
661368,47
856067,47
986349,47
1089302,46
1118027,46
1216173,46
1238953,46
1262651,46
1325405,46
1336607,46
1382309,46
1388440,46
1428078,46
1575235,46
1610310,46
168587,46
1702690,46
1768688,46
1944047,46
1958435,46
304588,46
307107,46
549264,46
591820,46
602296,46
742660,46
748592,46
827532,46
838917,46
953336,46
1045021,45
1063010,45
1116893,45
1134800,45
1152015,45
1200791,45
1321359,45
1325621,45
1326471,45
1345871,45
1416805,45
1436500,45
1483705,45
1536579,45
1543463,45
1832566,45
1967677,45
223540,45
284117,45
555404,45
759792,45
903723,45
912572,45
918404,45
930542,45
951610,45
968967,45
1065343,44
1095309,44
1129933,44
128533,44
1487365,44
1579655,44
1632214,44
1640943,44
1749109,44
1788092,44
1815486,44
182729,44
1915615,44
208111,44
211669,44
234704,44
264546,44
353069,44
533798,44
646245,44
679139,44
714380,44
810735,44
1020386,43
1096872,43
1137983,43
1165756,43
1280922,43
1332925,43
135782,43
1411863,43
1449007,43
1449824,43
1475013,43
1480813,43
153470,43
1643467,43
1646453,43
1699226,43
1730737,43
1744341,43
1878171,43
1982027,43
246027,43
337015,43
357245,43
360857,43
392782,43
395636,43
406905,43
51389,43
529543,43
644080,43
690747,43
875863,43
931011,43
941906,43
1386224,42
1432187,42
146186,42
1627468,42
1686979,42
1792869,42
1896855,42
2033274,42
346215,42
547951,42
644244,42
657292,42
915404,42
1138370,41
1165232,41
122344,41
1320649,41
1467311,41
1537207,41
1576656,41
1614499,41
1768434,41
1971204,41
2025633,41
384461,41
432971,41
464204,41
511781,41
540495,41
747486,41
757845,41
787178,41
798869,41
963148,41
970160,41
1152794,40
116446,40
1334972,40
1393253,40
1399755,40
1405426,40
1410699,40
1514680,40
1544108,40
1626029,40
1679104,40
1728432,40
1736898,40
1807223,40
2006561,40
2065050,40
2078374,40
21979,40
257896,40
400344,40
429192,40
617679,40
715390,40
801052,40
821721,40
896882,40
968455,40
97824,40
1003392,39
1023477,39
1085001,39
1203411,39
1203764,39
1368389,39
1376114,39
1664693,39
1688270,39
182809,39
325607,39
429515,39
456254,39
589598,39
911356,39
1076477,38
1082547,38
1164114,38
1174266,38
1244573,38
1283332,38
1492009,38
1683303,38
1732710,38
1741587,38
1751389,38
1784252,38
1788822,38
1873203,38
1880893,38
1967769,38
348210,38
410505,38
440632,38
567412,38
651100,38
768020,38
854868,38
869366,38
910939,38
914685,38
95161,38
975742,38
981786,38
1060632,37
1143856,37
1197,37
1427875,37
1507270,37
162188,37
1664117,37
1862203,37
230313,37
273492,37
291785,37
361623,37
664389,37
667435,37
794494,37
813636,37
874468,37
931476,37
935776,37
1007934,36
1101472,36
120395,36
1250778,36
1346967,36
1357705,36
1412312,36
1490672,36
1494148,36
1536913,36
1549439,36
1552759,36
1628043,36
