receiver,count
1278894,81353
839736,44681
external,29694
1952914,1437
2007364,1409
590805,1392
1158948,1386
1848459,1379
1168991,1359
170456,1350
1083901,1348
1356570,1348
620184,1336
19249,1333
427170,1328
1642591,1325
514417,1324
969340,1324
1411980,1323
168011,1322
631684,1321
1643702,1320
111118,1319
1166122,1315
502803,1312
1620771,1310
1034802,1308
972532,1306
185956,1304
1071824,1294
634880,1294
1813111,1293
829943,1287
1873126,1284
2028377,1280
1688395,1278
549850,1278
1230809,1275
1825209,1274
1281551,1273
1841510,1270
458951,1268
968489,1268
988972,1268
1228230,1265
515929,1264
365994,1263
445493,1263
1559001,1262
1022772,1261
376904,1260
2013533,1257
240876,1257
910832,1257
195725,1253
866636,1250
1350010,1242
692899,1242
1700246,1241
675346,1239
1580679,1238
1615853,1237
1535918,1232
824420,1227
400640,1218
412874,1217
803659,1217
1711266,1212
1810521,1212
1215994,1210
1031147,1209
38622,1199
587445,1197
1033825,1191
1149129,1188
110200,1187
1895027,1187
1218278,1185
1910940,1181
1953077,1180
1416972,1170
729136,1170
1882328,1168
911823,1164
1460660,1161
424710,1159
1536579,1158
860506,1157
1588833,1156
2008857,1153
1770588,1152
1073933,1150
451555,1150
1132417,1149
640448,1149
1101361,1147
874520,1147
1307549,1146
1320125,1145
374500,1143
786928,1136
1900699,1135
436644,1134
798994,1134
1581087,1133
947320,1133
2025345,1132
60140,1131
371008,1130
1544975,1129
1346982,1128
990711,1127
1050809,1126
112324,1126
1937540,1126
921779,1125
12470,1124
1469505,1124
944383,1124
266303,1120
560023,1120
1180493,1119
353958,1119
379254,1119
1919486,1117
6534,1117
1191147,1114
2026293,1112
935851,1111
1056227,1110
756638,1110
1566008,1109
311902,1108
554286,1105
497149,1104
858748,1103
94140,1103
1364861,1102
912572,1102
1204869,1100
566357,1100
908943,1099
307995,1098
707450,1098
937459,1098
1730626,1097
482636,1097
1656581,1096
748592,1096
445984,1095
1796799,1094
1769075,1093
662594,1093
1768688,1092
220105,1092
1409556,1090
1651502,1090
1741732,1090
679139,1090
821526,1085
1647208,1083
1538199,1082
535955,1082
242845,1081
1815320,1078
482603,1077
495857,1076
856067,1076
1138370,1075
170786,1075
28721,1075
717179,1074
14557,1073
374448,1073
832516,1073
1915615,1072
199976,1072
2017255,1070
918738,1070
987837,1070
1152015,1068
135782,1068
446257,1068
1058071,1067
1208888,1066
360857,1066
429404,1066
828045,1066
49375,1065
18989,1064
579564,1064
1091843,1063
315683,1062
710019,1062
1048364,1061
995009,1061
1315406,1059
236342,1059
7228,1059
1155913,1057
1382309,1055
1175402,1054
1560498,1054
1763220,1053
1190780,1051
1383898,1051
1115437,1050
1201132,1050
1950033,1050
905838,1049
1128580,1047
713536,1047
105834,1045
2093864,1044
400344,1043
1324594,1042
711205,1041
1227319,1040
257896,1040
986349,1040
325607,1037
1971204,1035
405773,1035
1333235,1032
1615218,1031
17740,1031
1915367,1031
216468,1031
1208350,1030
442091,1030
450460,1030
1029098,1029
1208846,1029
1723050,1029
420626,1029
138952,1028
183618,1028
530908,1028
1544108,1027
1707741,1027
2001998,1027
731443,1027
1353161,1026
800724,1026
1368412,1025
1025627,1024
1060039,1023
1250778,1022
1780934,1022
1942927,1021
2025633,1021
505361,1021
827497,1018
1338832,1017
848722,1017
174974,1016
1940331,1016
2013854,1016
392025,1016
2095479,1015
83986,1015
1050842,1014
1014468,1013
870731,1013
1488263,1012
551840,1012
1810596,1011
583927,1011
1151513,1010
212247,1010
74113,1010
74616,1009
1137983,1007
1859126,1006
2091938,1006
549795,1006
248838,1003
583339,1003
1110694,1002
1568439,1002
677275,1001
1203764,1000
392782,1000
1892706,999
1687333,998
462663,998
782299,998
1003815,997
1808298,997
547838,997
495118,996
1096872,994
1213942,994
1225597,994
713288,994
1664957,992
1162133,991
1985807,991
273315,991
